title,chart_week,performer,peak_pos,wks_on_chart,album_name,release_date,popularity,explicit,listeners,play_count,duration_s,genre
The Way I Am,2018-10-20,Charlie Puth,61,7,Voicenotes,2018-05-11,65,False,152576,1100985,186.08,soft pop
Can't Be Broken,2018-10-20,Lil Wayne,17,2,Tha Carter V,2018-09-28,63,True,61068,376093,193.243,rap
What About Me,2018-10-13,Lil Wayne,24,1,// fuckitdoeweout,2018-01-02,50,True,837,3648,77.562,rap
Dark Side Of The Moon,2018-10-13,Lil Wayne,26,1,The Mighty Death Pop,2012-08-14,22,True,778,3758,3614.013,rap
Famous,2018-10-13,Lil Wayne,36,1,About Face,2013-08-06,3,False,2619,10122,261.213,rap
Dope N****z,2018-10-13,Lil Wayne,39,1,Still Striving,2017-08-18,50,True,16,49,335.573,rap
Open Letter,2018-10-13,Lil Wayne,47,1,Tha Carter V,2018-09-28,52,True,35582,176571,269.286,rap
Problems,2018-10-13,Lil Wayne,57,1,Tha Carter V,2018-09-28,50,True,29900,96746,208.504,rap
Hittas,2018-10-13,Lil Wayne,59,1,Tha Carter V,2018-09-28,50,True,31994,139910,223.617,rap
Open Safe,2018-10-13,Lil Wayne,62,1,Tha Carter V,2018-09-28,51,True,30943,133638,223.938,rap
Took His Time,2018-10-13,Lil Wayne,65,1,Tha Carter V,2018-09-28,51,True,35118,181240,262.399,rap
Mess,2018-10-13,Lil Wayne,74,1,Tha Carter V,2018-09-28,54,True,40525,298157,212.427,rap
Let It All Work Out,2018-10-13,Lil Wayne,75,1,Tha Carter V,2018-09-28,82,True,167761,1554285,316.192,rap
Used 2,2018-10-13,Lil Wayne,78,1,Tha Carter V,2018-09-28,52,True,24477,99756,240.199,rap
Demon,2018-10-13,Lil Wayne,81,1,Tha Carter V,2018-09-28,52,True,38618,232724,214.313,rap
Perfect Strangers,2018-10-13,Lil Wayne,86,1,Tha Carter V,2018-09-28,50,True,29619,173030,249.751,rap
Dope New Gospel,2018-10-13,Lil Wayne,90,1,All About You (feat. Mack Wild),2014-08-26,5,True,459,2144,243.413,rap
Perfect,2018-10-06,Ed Sheeran,1,57,÷ (Deluxe),2017-03-03,91,False,885948,7659585,263.4,soft pop
Nice For What,2018-10-06,Drake,1,25,Scorpion,2018-06-29,80,True,814707,9939182,210.746,rap
God's Plan,2018-10-06,Drake,1,36,Scorpion,2018-06-29,86,True,1215282,11919176,198.973,rap
Fall,2018-10-06,Eminem,12,4,Kamikaze,2018-08-31,65,True,176097,1604419,262.493,rap
Life Changes,2018-10-06,Thomas Rhett,36,14,Life Changes,2017-09-08,69,False,43701,298711,205.453,country
Hooked,2018-10-06,Dylan Scott,48,11,Dylan Scott (Deluxe Edition),2017-08-04,60,False,24767,163927,149.293,country
Stargazing,2018-10-06,Travis Scott,8,8,ASTROWORLD,2018-08-03,78,True,626666,9237830,270.714,rap
The Ringer,2018-10-06,Eminem,8,4,Kamikaze,2018-08-31,66,True,221564,1842092,337.941,rap
Mercy,2018-09-29,Brett Young,29,20,Brett Young,2017-02-10,70,False,44269,338358,217.12,country
Cry Pretty,2018-09-29,Carrie Underwood,48,12,Cry Pretty,2018-09-14,49,False,25718,226779,247.32,country
Kamikaze,2018-09-29,Eminem,16,3,Kamikaze,2018-08-31,75,True,168018,1251265,269.554,rap
Te Bote,2018-09-22,Casper Magico,36,21,Te Boté (Remix),2018-04-13,77,True,6,70,417.92,trap latino
Greatest,2018-09-22,Eminem,23,2,Kamikaze,2018-08-31,61,True,170111,1311360,226.937,rap
I'm Upset,2018-09-22,Drake,7,16,Scorpion,2018-06-29,67,True,332232,2308791,214.466,rap
Narcos,2018-09-22,Migos,36,15,Culture II,2018-01-26,70,True,298488,2257180,255.378,trap
Normal,2018-09-15,Eminem,39,1,Kamikaze,2018-08-31,55,True,123873,702600,222.477,rap
Stepping Stone,2018-09-15,Eminem,42,1,Kamikaze,2018-08-31,56,True,120010,739795,309.637,rap
Nice Guy,2018-09-15,Eminem,65,1,Kamikaze,2018-08-31,52,True,6778,26080,150.801,rap
Friends,2018-09-08,Marshmello,11,29,FRIENDS,2018-02-09,79,True,559765,3918201,201.733,edm
One Kiss,2018-09-08,Calvin Harris,26,21,One Kiss (with Dua Lipa),2018-04-06,84,False,55936,388024,214.846,edm
Moonlight,2018-09-08,XXXTENTACION,13,20,?,2018-03-16,85,True,941794,10678821,135.09,emo rap
Get Along,2018-09-08,Kenny Chesney,22,21,Songs for the Saints,2018-07-27,75,False,62428,468399,199.625,country
Unica,2018-09-08,Ozuna,72,1,Aura,2018-08-24,67,False,43792,286248,218.386,reggaeton
Changes,2018-09-08,XXXTENTACION,18,20,?,2018-03-16,78,False,570760,5779925,121.886,emo rap
Happy Now,2018-09-08,Zedd,90,1,Happy Now,2018-07-18,70,False,215528,1431382,207.029,edm
Taking A Walk,2018-09-08,Trippie Redd,46,3,LIFE'S A TRIP,2018-08-10,74,True,521498,7766602,121.68,melodic rap
Mob Ties,2018-09-08,Drake,13,8,Scorpion,2018-06-29,69,True,315749,2674265,205.146,rap
Sweetener,2018-09-01,Ariana Grande,55,1,Sweetener,2018-08-17,79,True,518113,5951803,197.546,pop
Everytime,2018-09-01,Ariana Grande,62,1,Sweetener,2018-08-17,76,True,607927,11228899,172.106,pop
R.E.M,2018-09-01,Ariana Grande,72,1,My Everything (Deluxe),2014-08-22,84,False,445405,6327814,236.133,pop
Goodnight N Go,2018-09-01,Ariana Grande,87,1,Sweetener,2018-08-17,71,True,541764,8869614,189.506,pop
The Light Is Coming,2018-09-01,Ariana Grande,89,2,JAPAN ANIMESONG COLLECTION VOL.25 [アニソン・ジャパン],2009-02-04,11,False,16518,244235,270.857,pop
Pete Davidson,2018-09-01,Ariana Grande,99,1,Sweetener,2018-08-17,60,True,374983,4626662,73.813,pop
Stop Trying To Be God,2018-08-25,Travis Scott,27,2,ASTROWORLD,2018-08-03,71,True,431121,5376913,338.438,rap
Can't Say,2018-08-25,Travis Scott,38,2,ASTROWORLD,2018-08-03,81,True,791697,12815126,198.408,rap
R.I.P Screw,2018-08-25,Travis Scott,26,2,ASTROWORLD,2018-08-03,69,True,1747,25952,185.61,rap
No Bystanders,2018-08-25,Travis Scott,31,2,ASTROWORLD,2018-08-03,75,True,512874,6904866,218.283,rap
Carousel,2018-08-25,Travis Scott,24,2,ASTROWORLD,2018-08-03,69,True,408307,4536353,180.182,rap
Album Of The Year (Freestyle),2018-08-25,J. Cole,87,1,Album of the Year (Freestyle),2018-08-07,56,True,5961,35819,138.872,rap
5% Tint,2018-08-25,Travis Scott,36,2,ASTROWORLD,2018-08-03,80,True,688576,8182855,196.138,rap
Have It All,2018-08-25,Jason Mraz,90,1,Know.,2018-08-10,68,False,96416,571335,226.106,soft pop
NC-17,2018-08-18,Travis Scott,41,1,ASTROWORLD,2018-08-03,67,True,327968,3136702,156.885,rap
Who? What!,2018-08-18,Travis Scott,43,1,ASTROWORLD,2018-08-03,73,True,354887,3566050,176.72,rap
Skeletons,2018-08-18,Travis Scott,47,1,ASTROWORLD,2018-08-03,80,True,799986,15820985,145.588,rap
Astrothunder,2018-08-18,Travis Scott,48,1,ASTROWORLD,2018-08-03,80,True,666573,12769278,142.969,rap
Butterfly Effect,2018-08-18,Travis Scott,50,23,ASTROWORLD,2018-08-03,84,False,972827,12843372,190.557,rap
Houstonfornication,2018-08-18,Travis Scott,53,1,ASTROWORLD,2018-08-03,72,True,397651,4849736,217.828,rap
Coffee Bean,2018-08-18,Travis Scott,68,1,ASTROWORLD,2018-08-03,72,True,485400,7093602,209.115,rap
One Number Away,2018-08-11,Luke Combs,34,20,This One's for You,2017-06-02,77,False,103797,1106807,221.8,country
Don't Matter To Me,2018-08-11,Drake,9,5,C.N.N,2014-12-07,8,False,1453,17786,259.302,rap
All Mine,2018-08-11,Kanye West,11,9,ye,2018-06-01,73,True,853226,10098347,145.506,rap
Ocean,2018-08-11,Martin Garrix,78,5,9th Wonder Presents: Jamla Is The Squad (Deluxe Edition),2014-01-28,4,True,8338,42691,328.594,edm
X,2018-08-04,Nicky Jam x J Balvin,41,21,X (Remix),2018-06-29,57,False,150,487,235.746,reggaeton
Emotionless,2018-08-04,Drake,8,4,Scorpion,2018-06-29,68,True,254791,1834130,302.173,rap
Can't Take A Joke,2018-08-04,Drake,18,4,Scorpion,2018-06-29,67,True,14020,98758,163.974,rap
Elevate,2018-07-28,Drake,14,3,Scorpion,2018-06-29,62,True,203671,1115368,184.96,rap
Blue Tint,2018-07-28,Drake,30,3,Scorpion,2018-06-29,62,True,203548,1505307,162.8,rap
After Dark,2018-07-28,Drake,41,3,Beach House 3 (Deluxe Edition),2018-05-11,50,True,28186,87025,218.26,rap
Everything's Gonna Be Alright,2018-07-28,David Lee Murphy,66,13,No Zip Code,2018-04-06,62,False,19483,105289,229.573,country
Zombie,2018-07-28,Bad Wolves,54,18,Disobey,2018-05-11,78,False,218163,1912465,254.805,metal
8 Out Of 10,2018-07-28,Drake,21,3,Scorpion,2018-06-29,64,True,201805,1136278,195.72,rap
31 Days,2018-07-28,Future,65,2,BEASTMODE 2,2018-07-06,52,True,49205,343945,240.682,rap
Wifi Lit,2018-07-21,Future,53,1,BEASTMODE 2,2018-07-06,51,True,65927,399040,176.63,rap
Jocelyn Flores,2018-07-21,XXXTENTACION,19,20,17,2017-08-25,82,True,1046678,14023993,119.133,emo rap
Sandra's Rose,2018-07-21,Drake,27,2,Scorpion,2018-06-29,68,True,12769,81744,216.333,rap
Summer Games,2018-07-21,Drake,28,2,Scorpion,2018-06-29,67,False,174852,1426253,247.893,rap
Jaded,2018-07-21,Drake,32,2,Scorpion,2018-06-29,74,True,287591,2947952,262.453,rap
That's How You Feel,2018-07-21,Drake,37,2,Scorpion,2018-06-29,67,True,11531,84792,157.605,rap
Survival,2018-07-21,Drake,17,2,Scorpion,2018-06-29,60,True,205559,1187245,136.186,rap
Cuddle My Wrist,2018-07-21,Future,71,1,BEASTMODE 2,2018-07-06,49,True,45431,309197,181.894,rap
Racks Blue,2018-07-21,Future,76,1,BEASTMODE 2,2018-07-06,50,True,41727,239563,204.311,rap
Finesse,2018-07-21,Drake,42,2,Scorpion,2018-06-29,77,False,397106,3608617,182.08,rap
KOD,2018-07-21,J. Cole,10,12,KOD,2018-04-20,64,True,317785,2597158,191.436,rap
Peak,2018-07-21,Drake,38,2,Scorpion,2018-06-29,63,True,154476,922682,206.026,rap
Is There More,2018-07-21,Drake,36,2,Scorpion,2018-06-29,57,True,131542,672917,226.906,rap
Ratchet Happy Birthday,2018-07-14,Drake,51,1,Scorpion,2018-06-29,54,True,123463,523103,207.306,rap
Final Fantasy,2018-07-14,Drake,56,1,Scorpion,2018-06-29,57,True,122053,627756,219.96,rap
March 14,2018-07-14,Drake,57,1,Scorpion,2018-06-29,55,True,105381,471535,309.56,rap
Everybody Dies In Their Nightmares,2018-07-14,XXXTENTACION,42,7,17,2017-08-25,82,True,856206,11456353,95.466,emo rap
Yikes,2018-07-14,Kanye West,8,5,ye,2018-06-01,65,True,564634,6344027,188.773,rap
Downtown's Dead,2018-07-14,Sam Hunt,94,2,Downtown's Dead,2018-05-16,47,False,18711,116432,213.986,country
The Remedy For A Broken Heart (Why Am I So In Love),2018-07-14,XXXTENTACION,55,5,?,2018-03-16,77,True,505947,6040197,160.184,emo rap
I Lived It,2018-07-14,Blake Shelton,63,18,Texoma Shore,2017-11-03,54,False,16191,98668,219.6,country
Plug Walk,2018-07-07,Rich The Kid,13,20,The World Is Yours,2018-03-30,71,True,371316,2876238,175.229,trap
Heaven,2018-07-07,Kane Brown,15,27,Kane Brown (Deluxe Edition),2017-10-06,74,False,88897,676726,179.506,country
New Rules,2018-07-07,Dua Lipa,6,48,Dua Lipa (Deluxe),2017-06-02,85,False,1109796,11481233,209.32,pop
Wait,2018-07-07,Maroon 5,24,24,Red Pill Blues (Deluxe),2018-06-15,65,False,179600,1188452,190.642,pop
Dura,2018-07-07,Daddy Yankee,43,21,Dura,2018-01-18,75,False,138395,730112,200.48,reggaeton
Bigger > You,2018-07-07,2 Chainz,53,2,Bigger Than You feat. Drake & Quavo,2018-06-15,54,True,17,19,225.893,southern hip hop
Say Amen (Saturday Night),2018-07-07,Panic! At The Disco,60,3,Pray for the Wicked,2018-06-22,66,False,284978,2569459,189.186,emo
Hope,2018-07-07,XXXTENTACION,70,2,?,2018-03-16,85,True,746138,9383128,110.886,emo rap
Fake Love,2018-07-07,BTS,10,6,Love Yourself 轉 'Tear',2018-05-18,82,False,643008,100212709,242.333,k-pop
Numb,2018-07-07,XXXTENTACION,80,3,?,2018-03-16,78,False,388035,4040056,186.267,emo rap
Born To Be Yours,2018-07-07,Kygo,74,2,Born To Be Yours,2018-06-15,72,False,218901,1526637,193.32,tropical house
DDU-DU DDU-DU,2018-06-30,BLACKPINK,55,1,SQUARE UP,2018-06-15,74,False,637908,11087246,211.35,k-pop
IDGAF,2018-06-30,Dua Lipa,49,23,Dua Lipa (Deluxe),2017-06-02,83,True,812817,7884552,217.946,pop
Dame Tu Cosita,2018-06-30,Pitbull x El Chombo x Karol G,36,9,15 Años Maquinando,2015-04-21,59,False,3,10,221.0,reggaeton
You Make It Easy,2018-06-23,Jason Aldean,28,20,Rearview Town,2018-04-13,81,False,113146,956906,193.226,country
Violent Crimes,2018-06-23,Kanye West,27,2,ye,2018-06-01,83,True,1107577,19671130,215.32,rap
El Farsante,2018-06-23,Ozuna,49,20,El Farsante (Remix),2018-01-30,73,False,127025,945782,258.0,reggaeton
Wouldn't Leave,2018-06-23,Kanye West,24,2,Black Gold,2013-02-26,23,True,429460,4084680,231.775,rap
Singles You Up,2018-06-23,Jordan Davis,50,19,Home State,2018-03-23,73,False,60195,486209,182.666,country
I Thought About Killing You,2018-06-16,Kanye West,28,1,ye,2018-06-01,63,True,476996,5149162,274.186,rap
No Mistakes,2018-06-16,Kanye West,36,1,ye,2018-06-01,65,True,513462,5843115,123.04,rap
Must've Never Met You,2018-06-16,Luke Combs,81,1,This One's for You Too (Deluxe Edition),2018-06-01,74,False,47863,448893,198.88,country
Lust,2018-06-16,Lil Skies,87,4,Life of a Dark Rose,2017-12-12,76,True,409809,5295710,156.0,melodic rap
New Freezer,2018-06-16,Rich The Kid,41,19,The Block Brochure: Jumbo Pack (All Six Albums),2015-05-04,7,True,9575,30633,248.56,trap
For The First Time,2018-06-09,Darius Rucker,58,10,When Was The Last Time,2017-10-20,61,False,26118,139940,197.053,country
Most People Are Good,2018-06-09,Luke Bryan,43,18,What Makes You Country,2017-12-08,65,False,36889,259452,221.8,country
Like That,2018-06-02,Kris Wu,73,1,Like That (Originally Performed by Kris Wu) [Instrumental],2018-05-30,0,False,11393,74005,231.393,chinese hip hop
ATM,2018-06-02,J. Cole,6,5,KOD,2018-04-20,61,True,234317,1954984,216.726,rap
Kevin's Heart,2018-06-02,J. Cole,8,5,KOD,2018-04-20,72,True,23516,233598,200.309,rap
Stir Fry,2018-05-26,Migos,8,21,Culture II,2018-01-26,77,True,600787,6106122,190.288,trap
When We,2018-05-26,Tank,78,20,SAVAGE,2017-09-29,61,True,59206,245937,309.12,thrash metal
Famous,2018-05-19,Mason Ramsey,62,2,Famous,2018-04-27,39,False,28234,120918,192.52,country
Motiv8,2018-05-12,J. Cole,15,2,KOD,2018-04-20,59,True,190929,1327390,133.921,rap
1985 (Intro To The Fall Off),2018-05-12,J. Cole,20,2,KOD,2018-04-20,61,True,302,1458,190.176,rap
Photograph,2018-05-12,J. Cole,14,2,KOD,2018-04-20,58,True,168159,1100376,218.953,rap
The Cut Off,2018-05-05,J. Cole,28,1,The Insane Asylum,2013-06-04,8,True,2622,12497,204.364,rap
Brackets,2018-05-05,J. Cole,30,1,KOD,2018-04-20,56,True,132293,799446,315.771,rap
Wake Me Up!,2018-05-05,Avicii,4,54,True,2013-09-16,89,False,4967,47983,247.426,edm
Window Pain (Outro),2018-05-05,J. Cole,41,1,KOD,2018-04-20,57,True,12303,73514,286.729,rap
Once An Addict (Interlude),2018-05-05,J. Cole,47,1,KOD,2018-04-20,56,True,12594,77383,197.821,rap
Let You Down,2018-05-05,NF,12,28,Perception,2017-10-06,81,False,522693,5645208,212.12,christian hip hop
Intro,2018-05-05,J. Cole,53,1,2014 Forest Hills Drive,2014-12-09,57,True,310905,1926008,129.153,rap
The Long Way,2018-05-05,Brett Eldredge,65,12,Brett Eldredge,2017-08-04,58,False,26425,154876,208.72,country
This Is Me,2018-05-05,Keala Settle,58,14,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,75,False,311261,2386480,234.706,musicals
Marry Me,2018-04-28,Thomas Rhett,30,20,Life Changes,2017-09-08,69,False,74321,575107,205.453,country
Anybody,2018-04-28,Young Thug,89,1,Los Bandoleros,2017-02-12,14,True,554,2459,261.387,rap
She's With Me,2018-04-28,High Valley,79,8,Dear Life,2016-11-18,51,False,14039,81740,180.301,country
